P1,P2,P3,P4,P5,P6,P7,P8,absorbance
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1.2116
0,0,0,0,0,0,1,0,1.032466667
0,0,0,0,0,0,1,1,1.156933333
0,0,0,0,0,1,0,0,0.8264
0,0,0,0,0,1,0,1,1.2289
0,0,0,0,0,1,1,0,0.9548
0,0,0,0,0,1,1,1,1.1402
0,0,0,0,1,0,0,0,0.624966667
0,0,0,0,1,0,0,1,1.133233333
0,0,0,0,1,0,1,0,0.952066667
0,0,0,0,1,0,1,1,1.1633
0,0,0,0,1,1,0,0,0.844
0,0,0,0,1,1,0,1,1.175433333
0,0,0,0,1,1,1,0,1.1402
0,0,0,0,1,1,1,1,1.146033333
0,0,0,1,0,0,0,0,1.1653
0,0,0,1,0,0,0,1,1.161566667
0,0,0,1,0,0,1,0,0.968633333
0,0,0,1,0,0,1,1,1.089133333
0,0,0,1,0,1,0,0,0.827533333
0,0,0,1,0,1,0,1,1.0516
0,0,0,1,0,1,1,0,1.038233333
0,0,0,1,0,1,1,1,1.0983
0,0,0,1,1,0,0,0,1.166366667
0,0,0,1,1,0,0,1,1.103966667
0,0,0,1,1,0,1,0,1.116366667
0,0,0,1,1,0,1,1,1.0684
0,0,0,1,1,1,0,0,0.8345
0,0,0,1,1,1,0,1,1.144466667
0,0,0,1,1,1,1,0,1.0274
0,0,0,1,1,1,1,1,1.0388
0,0,1,0,0,0,0,0,0.810433333
0,0,1,0,0,0,0,1,1.196933333
0,0,1,0,0,0,1,0,0.843366667
0,0,1,0,0,0,1,1,1.155933333
0,0,1,0,0,1,0,0,0.8475
0,0,1,0,0,1,0,1,1.2481
0,0,1,0,0,1,1,0,0.817166667
0,0,1,0,0,1,1,1,1.1029
0,0,1,0,1,0,0,0,0.762266667
0,0,1,0,1,0,0,1,1.272233333
0,0,1,0,1,0,1,0,0.802633333
0,0,1,0,1,0,1,1,1.065866667
0,0,1,0,1,1,0,0,0.8276
0,0,1,0,1,1,0,1,1.2834
0,0,1,0,1,1,1,0,0.8874
0,0,1,0,1,1,1,1,1.151866667
0,0,1,1,0,0,0,0,0.959766667
0,0,1,1,0,0,0,1,1.183833333
0,0,1,1,0,0,1,0,0.981066667
0,0,1,1,0,0,1,1,0.9599
0,0,1,1,0,1,0,0,1.0321
0,0,1,1,0,1,0,1,1.205866667
0,0,1,1,0,1,1,0,1.053833333
0,0,1,1,0,1,1,1,1.052566667
0,0,1,1,1,0,0,0,0.9636
0,0,1,1,1,0,0,1,1.047866667
0,0,1,1,1,0,1,0,1.0342
0,0,1,1,1,0,1,1,1.077266667
0,0,1,1,1,1,0,0,1.0676
0,0,1,1,1,1,0,1,1.108366667
0,0,1,1,1,1,1,0,1.079266667
0,0,1,1,1,1,1,1,1.1065
0,1,0,0,0,0,0,0,0.512066667
0,1,0,0,0,0,0,1,1.2317
0,1,0,0,0,0,1,0,1.0712
0,1,0,0,0,0,1,1,1.1662
0,1,0,0,0,1,0,0,0.846333333
0,1,0,0,0,1,0,1,1.277566667
0,1,0,0,0,1,1,0,0.981166667
0,1,0,0,0,1,1,1,0.946333333
0,1,0,0,1,0,0,0,0.802533333
0,1,0,0,1,0,0,1,1.2206
0,1,0,0,1,0,1,0,1.057533333
0,1,0,0,1,0,1,1,1.161566667
0,1,0,0,1,1,0,0,0.9009
0,1,0,0,1,1,0,1,1.250466667
0,1,0,0,1,1,1,0,0.9198
0,1,0,0,1,1,1,1,1.0653
0,1,0,1,0,0,0,0,1.109566667
0,1,0,1,0,0,0,1,1.117366667
0,1,0,1,0,0,1,0,1.084866667
0,1,0,1,0,0,1,1,1.048966667
0,1,0,1,0,1,0,0,1.062966667
0,1,0,1,0,1,0,1,1.0919
0,1,0,1,0,1,1,0,1.145733333
0,1,0,1,0,1,1,1,0.9971
0,1,0,1,1,0,0,0,0.949533333
0,1,0,1,1,0,0,1,1.0092
0,1,0,1,1,0,1,0,1.1716
0,1,0,1,1,0,1,1,1.009033333
0,1,0,1,1,1,0,0,1.0084
0,1,0,1,1,1,0,1,1.262133333
0,1,0,1,1,1,1,0,0.9739
0,1,0,1,1,1,1,1,0.917633333
0,1,1,0,0,0,0,0,0.833966667
0,1,1,0,0,0,0,1,1.2377
0,1,1,0,0,0,1,0,0.851866667
0,1,1,0,0,0,1,1,1.0506
0,1,1,0,0,1,0,0,0.9516
0,1,1,0,0,1,0,1,1.216033333
0,1,1,0,0,1,1,0,0.803866667
0,1,1,0,0,1,1,1,1.112933333
0,1,1,0,1,0,0,0,0.9388
0,1,1,0,1,0,0,1,1.193333333
0,1,1,0,1,0,1,0,0.8312
0,1,1,0,1,0,1,1,1.1083
0,1,1,0,1,1,0,0,0.918166667
0,1,1,0,1,1,0,1,1.272966667
0,1,1,0,1,1,1,0,0.895333333
0,1,1,0,1,1,1,1,1.101433333
0,1,1,1,0,0,0,0,0.9434
0,1,1,1,0,0,0,1,1.171
0,1,1,1,0,0,1,0,0.902766667
0,1,1,1,0,0,1,1,1.0674
0,1,1,1,0,1,0,0,1.0468
0,1,1,1,0,1,0,1,1.062266667
0,1,1,1,0,1,1,0,0.9109
0,1,1,1,0,1,1,1,1.022633333
0,1,1,1,1,0,0,0,0.947966667
0,1,1,1,1,0,0,1,1.0559
0,1,1,1,1,0,1,0,0.929833333
0,1,1,1,1,0,1,1,1.057333333
0,1,1,1,1,1,0,0,1.040233333
0,1,1,1,1,1,0,1,1.034866667
0,1,1,1,1,1,1,0,1.035733333
0,1,1,1,1,1,1,1,1.059233333
1,0,0,0,0,0,0,0,0.363566667
1,0,0,0,0,0,0,1,1.233266667
1,0,0,0,0,0,1,0,1.0535
1,0,0,0,0,0,1,1,1.1447
1,0,0,0,0,1,0,0,0.964
1,0,0,0,0,1,0,1,1.1713
1,0,0,0,0,1,1,0,0.958166667
